id;algo name;agents num;steps num;num task finished;throughput;avg step time
0;pibt+gg+gs;1000;5000;10242;2.0484;3
1;pibt+gg+gs;2000;5000;11310;2.262;14
2;pibt+gg+gs;3000;5000;11868;2.3736;24
3;pibt+gg+gs;4000;5000;12221;2.4442;42
4;pibt+gg+gs;5000;5000;12334;2.4668;53
5;pibt+gg+gs;6000;5000;12737;2.5474;71
6;pibt+gg+gs;7000;5000;12584;2.5168;99
7;pibt+gg+gs;8000;5000;12853;2.5706;124
8;pibt+gg+gs;9000;5000;12791;2.5582;155
9;pibt+gg+gs;10000;5000;12945;2.589;213
0;pibt+gs;1000;5000;9668;1.9336;4
1;pibt+gs;2000;5000;8806;1.7612;12
2;pibt+gs;3000;5000;9537;1.9074;21
3;pibt+gs;4000;5000;9103;1.8206;31
4;pibt+gs;5000;5000;9361;1.8722;54
5;pibt+gs;6000;5000;8837;1.7674;80
6;pibt+gs;7000;5000;9536;1.9072;98
7;pibt+gs;8000;5000;9971;1.9942;157
8;pibt+gs;9000;5000;9780;1.956;175
9;pibt+gs;10000;5000;9718;1.9436;206
0;epibt+gg+gs;1000;5000;10602;2.1204;5
1;epibt+gg+gs;2000;5000;14488;2.8976;15
2;epibt+gg+gs;3000;5000;14664;2.9328;60
3;epibt+gg+gs;4000;5000;15327;3.0654;83
4;epibt+gg+gs;5000;5000;15796;3.1592;136
5;epibt+gg+gs;6000;5000;16868;3.3736;205
6;epibt+gg+gs;7000;5000;17446;3.4892;290
7;epibt+gg+gs;8000;5000;18105;3.621;361
8;epibt+gg+gs;9000;5000;18595;3.719;408
9;epibt+gg+gs;10000;5000;18559;3.7118;533
0;epibt+gs;1000;5000;10247;2.0494;5
1;epibt+gs;2000;5000;10384;2.0768;17
2;epibt+gs;3000;5000;10933;2.1866;66
3;epibt+gs;4000;5000;11538;2.3076;101
4;epibt+gs;5000;5000;12186;2.4372;140
5;epibt+gs;6000;5000;12677;2.5354;219
6;epibt+gs;7000;5000;13060;2.612;332
7;epibt+gs;8000;5000;13337;2.6674;419
8;epibt+gs;9000;5000;13879;2.7758;555
9;epibt+gs;10000;5000;14160;2.832;576
0;pibt_tf+gs;1000;5000;9100;1.82;968
1;pibt_tf+gs;2000;5000;9479;1.8958;966
2;pibt_tf+gs;3000;5000;9811;1.9622;966
3;pibt_tf+gs;4000;5000;10124;2.0248;968
4;pibt_tf+gs;5000;5000;10063;2.0126;970
5;pibt_tf+gs;6000;5000;10632;2.1264;972
6;pibt_tf+gs;7000;5000;11349;2.2698;973
7;pibt_tf+gs;8000;5000;11772;2.3544;975
8;pibt_tf+gs;9000;5000;12040;2.408;976
9;pibt_tf+gs;10000;5000;12358;2.4716;977
0;pepibt_lns+gg+gs;1000;5000;10720;2.144;951
1;pepibt_lns+gg+gs;2000;5000;21288;4.2576;953
2;pepibt_lns+gg+gs;3000;5000;29902;5.9804;953
3;pepibt_lns+gg+gs;4000;5000;18562;3.7124;953
4;pepibt_lns+gg+gs;5000;5000;16273;3.2546;954
5;pepibt_lns+gg+gs;6000;5000;18910;3.782;955
6;pepibt_lns+gg+gs;7000;5000;17558;3.5116;956
7;pepibt_lns+gg+gs;8000;5000;16940;3.388;956
8;pepibt_lns+gg+gs;9000;5000;17297;3.4594;965
9;pepibt_lns+gg+gs;10000;5000;17355;3.471;968
0;pepibt_lns+gs;1000;5000;10561;2.1122;951
1;pepibt_lns+gs;2000;5000;20822;4.1644;953
2;pepibt_lns+gs;3000;5000;14355;2.871;954
3;pepibt_lns+gs;4000;5000;14116;2.8232;954
4;pepibt_lns+gs;5000;5000;14795;2.959;954
5;pepibt_lns+gs;6000;5000;14332;2.8664;955
6;pepibt_lns+gs;7000;5000;13534;2.7068;957
7;pepibt_lns+gs;8000;5000;13507;2.7014;960
8;pepibt_lns+gs;9000;5000;13633;2.7266;963
9;pepibt_lns+gs;10000;5000;13917;2.7834;965
0;wppl+gg+gs;1000;5000;10620;2.124;962
1;wppl+gg+gs;2000;5000;21291;4.2582;962
2;wppl+gg+gs;3000;5000;15150;3.03;961
3;wppl+gg+gs;4000;5000;15009;3.0018;961
4;wppl+gg+gs;5000;5000;15449;3.0898;961
5;wppl+gg+gs;6000;5000;14863;2.9726;961
6;wppl+gg+gs;7000;5000;14927;2.9854;962
7;wppl+gg+gs;8000;5000;16256;3.2512;962
8;wppl+gg+gs;9000;5000;16145;3.229;962
9;wppl+gg+gs;10000;5000;16246;3.2492;962
