id;algo name;agents num;steps num;num task finished;throughput;avg step time
0;pibt+gg+gs;100;1000;2058;2.058;1
1;pibt+gg+gs;200;1000;2762;2.762;1
2;pibt+gg+gs;300;1000;2666;2.666;1
3;pibt+gg+gs;400;1000;2093;2.093;1
4;pibt+gg+gs;500;1000;1755;1.755;2
5;pibt+gg+gs;600;1000;1448;1.448;2
6;pibt+gg+gs;700;1000;1164;1.164;3
7;pibt+gg+gs;800;1000;794;0.794;7
0;pibt+gs;100;1000;1898;1.898;1
1;pibt+gs;200;1000;2216;2.216;1
2;pibt+gs;300;1000;1770;1.77;1
3;pibt+gs;400;1000;1421;1.421;1
4;pibt+gs;500;1000;1301;1.301;2
5;pibt+gs;600;1000;1052;1.052;2
6;pibt+gs;700;1000;887;0.887;3
7;pibt+gs;800;1000;654;0.654;6
0;epibt+gg+gs;100;1000;2397;2.397;3
1;epibt+gg+gs;200;1000;3802;3.802;3
2;epibt+gg+gs;300;1000;3900;3.9;3
3;epibt+gg+gs;400;1000;3683;3.683;4
4;epibt+gg+gs;500;1000;3278;3.278;5
5;epibt+gg+gs;600;1000;2899;2.899;6
6;epibt+gg+gs;700;1000;2504;2.504;10
7;epibt+gg+gs;800;1000;1737;1.737;70
0;epibt+gs;100;1000;2342;2.342;3
1;epibt+gs;200;1000;3353;3.353;3
2;epibt+gs;300;1000;3398;3.398;3
3;epibt+gs;400;1000;2988;2.988;4
4;epibt+gs;500;1000;2754;2.754;5
5;epibt+gs;600;1000;2428;2.428;7
6;epibt+gs;700;1000;2189;2.189;10
7;epibt+gs;800;1000;1491;1.491;70
0;pibt_tf+gs;100;1000;2229;2.229;951
1;pibt_tf+gs;200;1000;3604;3.604;951
2;pibt_tf+gs;300;1000;3905;3.905;951
3;pibt_tf+gs;400;1000;3669;3.669;951
4;pibt_tf+gs;500;1000;2956;2.956;951
5;pibt_tf+gs;600;1000;2566;2.566;951
6;pibt_tf+gs;700;1000;2109;2.109;951
7;pibt_tf+gs;800;1000;1611;1.611;951
0;pepibt_lns+gg+gs;100;1000;2405;2.405;950
1;pepibt_lns+gg+gs;200;1000;4540;4.54;950
2;pepibt_lns+gg+gs;300;1000;6090;6.09;950
3;pepibt_lns+gg+gs;400;1000;6964;6.964;950
4;pepibt_lns+gg+gs;500;1000;6582;6.582;950
5;pepibt_lns+gg+gs;600;1000;5659;5.659;951
6;pepibt_lns+gg+gs;700;1000;4917;4.917;951
7;pepibt_lns+gg+gs;800;1000;2321;2.321;951
0;pepibt_lns+gs;100;1000;2507;2.507;950
1;pepibt_lns+gs;200;1000;4289;4.289;950
2;pepibt_lns+gs;300;1000;5484;5.484;950
3;pepibt_lns+gs;400;1000;5833;5.833;950
4;pepibt_lns+gs;500;1000;5354;5.354;950
5;pepibt_lns+gs;600;1000;4915;4.915;950
6;pepibt_lns+gs;700;1000;4259;4.259;950
7;pepibt_lns+gs;800;1000;2960;2.96;951
0;wppl+gg+gs;100;1000;2160;2.16;958
1;wppl+gg+gs;200;1000;4393;4.393;956
2;wppl+gg+gs;300;1000;5245;5.245;956
3;wppl+gg+gs;400;1000;5581;5.581;956
4;wppl+gg+gs;500;1000;5441;5.441;956
5;wppl+gg+gs;600;1000;4624;4.624;956
6;wppl+gg+gs;700;1000;3165;3.165;957
7;wppl+gg+gs;800;1000;1502;1.502;956
