id;algo name;agents num;steps num;num task finished;throughput;avg step time
0;pepibt_lns+gs;1000;5000;18907;3.7814;951
1;pepibt_lns+gs;2000;5000;36276;7.2552;951
2;pepibt_lns+gs;3000;5000;52587;10.5174;951
3;pepibt_lns+gs;4000;5000;68060;13.612;956
4;pepibt_lns+gs;5000;5000;82360;16.472;958
5;pepibt_lns+gs;6000;5000;95757;19.1514;959
6;pepibt_lns+gs;7000;5000;108216;21.6432;961
7;pepibt_lns+gs;8000;5000;119294;23.8588;961
8;pepibt_lns+gs;9000;5000;128399;25.6798;963
9;pepibt_lns+gs;10000;5000;50586;10.1172;966
