id;algo name;agents num;steps num;num task finished;throughput;avg step time
0;pibt+gg+gs;1000;5000;19205;3.841;3
1;pibt+gg+gs;2000;5000;38453;7.6906;6
2;pibt+gg+gs;3000;5000;57203;11.4406;10
3;pibt+gg+gs;4000;5000;75176;15.0352;14
4;pibt+gg+gs;5000;5000;91302;18.2604;19
5;pibt+gg+gs;6000;5000;103469;20.6938;25
6;pibt+gg+gs;7000;5000;66761;13.3522;32
7;pibt+gg+gs;8000;5000;65649;13.1298;39
8;pibt+gg+gs;9000;5000;60830;12.166;46
9;pibt+gg+gs;10000;5000;61094;12.2188;49
0;pibt+gs;1000;5000;14769;2.9538;3
1;pibt+gs;2000;5000;26487;5.2974;6
2;pibt+gs;3000;5000;35309;7.0618;10
3;pibt+gs;4000;5000;43050;8.61;13
4;pibt+gs;5000;5000;31740;6.348;28
5;pibt+gs;6000;5000;31370;6.274;29
6;pibt+gs;7000;5000;30337;6.0674;32
7;pibt+gs;8000;5000;28721;5.7442;39
8;pibt+gs;9000;5000;28927;5.7854;45
9;pibt+gs;10000;5000;24597;4.9194;58
0;epibt+gg+gs;1000;5000;19364;3.8728;5
1;epibt+gg+gs;2000;5000;38779;7.7558;8
2;epibt+gg+gs;3000;5000;57945;11.589;12
3;epibt+gg+gs;4000;5000;77071;15.4142;17
4;epibt+gg+gs;5000;5000;95392;19.0784;22
5;epibt+gg+gs;6000;5000;113288;22.6576;28
6;epibt+gg+gs;7000;5000;130313;26.0626;34
7;epibt+gg+gs;8000;5000;146330;29.266;41
8;epibt+gg+gs;9000;5000;140698;28.1396;66
9;epibt+gg+gs;10000;5000;111675;22.335;180
0;epibt+gs;1000;5000;16703;3.3406;5
1;epibt+gs;2000;5000;30082;6.0164;8
2;epibt+gs;3000;5000;41798;8.3596;13
3;epibt+gs;4000;5000;52173;10.4346;17
4;epibt+gs;5000;5000;60735;12.147;23
5;epibt+gs;6000;5000;50919;10.1838;146
6;epibt+gs;7000;5000;52192;10.4384;219
7;epibt+gs;8000;5000;41153;8.2306;263
8;epibt+gs;9000;5000;40367;8.0734;352
9;epibt+gs;10000;5000;36890;7.378;463
0;pibt_tf+gs;1000;5000;18280;3.656;959
1;pibt_tf+gs;2000;5000;36830;7.366;959
2;pibt_tf+gs;3000;5000;54183;10.8366;960
3;pibt_tf+gs;4000;5000;71646;14.3292;961
4;pibt_tf+gs;5000;5000;87461;17.4922;961
5;pibt_tf+gs;6000;5000;102974;20.5948;962
6;pibt_tf+gs;7000;5000;111514;22.3028;963
7;pibt_tf+gs;8000;5000;115956;23.1912;963
8;pibt_tf+gs;9000;5000;102791;20.5582;964
9;pibt_tf+gs;10000;5000;97925;19.585;965
0;pepibt_lns+gg+gs;1000;5000;19480;3.896;950
1;pepibt_lns+gg+gs;2000;5000;39194;7.8388;951
2;pepibt_lns+gg+gs;3000;5000;58712;11.7424;951
3;pepibt_lns+gg+gs;4000;5000;78329;15.6658;956
4;pepibt_lns+gg+gs;5000;5000;97610;19.522;957
5;pepibt_lns+gg+gs;6000;5000;116677;23.3354;958
6;pepibt_lns+gg+gs;7000;5000;135392;27.0784;959
7;pepibt_lns+gg+gs;8000;5000;153774;30.7548;961
8;pepibt_lns+gg+gs;9000;5000;172023;34.4046;962
9;pepibt_lns+gg+gs;10000;5000;189343;37.8686;964
0;pepibt_lns+gs;1000;5000;18907;3.7814;951
1;pepibt_lns+gs;2000;5000;36276;7.2552;951
2;pepibt_lns+gs;3000;5000;52587;10.5174;951
3;pepibt_lns+gs;4000;5000;68060;13.612;956
4;pepibt_lns+gs;5000;5000;82360;16.472;958
5;pepibt_lns+gs;6000;5000;95757;19.1514;959
6;pepibt_lns+gs;7000;5000;108216;21.6432;961
7;pepibt_lns+gs;8000;5000;119294;23.8588;961
8;pepibt_lns+gs;9000;5000;128399;25.6798;963
9;pepibt_lns+gs;10000;5000;50586;10.1172;966
0;wppl+gg+gs;1000;5000;18443;3.6886;955
1;wppl+gg+gs;2000;5000;36748;7.3496;956
2;wppl+gg+gs;3000;5000;54848;10.9696;956
3;wppl+gg+gs;4000;5000;72725;14.545;957
4;wppl+gg+gs;5000;5000;90067;18.0134;958
5;wppl+gg+gs;6000;5000;107385;21.477;958
6;wppl+gg+gs;7000;5000;123650;24.73;959
7;wppl+gg+gs;8000;5000;140397;28.0794;959
8;wppl+gg+gs;9000;5000;154293;30.8586;959
9;wppl+gg+gs;10000;5000;166797;33.3594;959
